filename	link	title	abstract	keywords	entity_per_paragraphs	entity_per_tokens
PR06015055-CC.pdf	PR06015055-CC.pdf	The Hall effect in Zn-doped YBa 2 Cu 3 O 7−δ revisited: Hall angle and the pseudogap 	The temperature dependence of the Hall coefficient is measured with a high accuracy in a series of YBa2(Cu1−zZnz)3O6.78 crystals with 0≤z≤0.013. We found that the cotangent of the Hall angle, cot θH , starts to deviate upwardly from the T 2 dependence below T0 (∼130 K), regardless of the Zn concentration. We discuss that this deviation is caused by the pseudogap; the direction of the deviation and its insensitivity to the Zn doping suggest that the pseudogap affects cot θH through a change in the effective mass, rather than through a change in the Hall scattering rate. 		2.27777777777778	95.9512195121951
PR05003221-CC.pdf	PR05003221-CC.pdf	Hydrostatic pressure induced lattice effects in La 2−x Sr x CuO 4 	Micro-Raman measurements under hydrostatic pressures up to ∼6 GPa have been carried out on high-quality La2−xSrxCuO4 polycrystalline compounds with Sr concentration up to x=0.24. The zz scattering polarization has been investigated at room temperature, where two strong modes due to La/Sr and the apex oxygen atoms are observed. The energy of the strong modes increases almost linearly with pressure for the Sr concentrations studied. Modifications in the increment rate dω/dp have been detected depending on the amount of doping. Finally, measurements at low temperatures denote that the application of pressure minimizes the distortions of the CuO 6 octahedra. 		3.70588235294118	35.8095238095238
PR05809504-CC.pdf	PR05809504-CC.pdf	Synthesis and superconductivity of F-free NdFeAsO 1-y Synthesis and superconductivity of F-free NdFeAsO 1-y 	We have synthesized a series of oxygen-deficient, fluorine-free polycrystalline samples with nominal chemical formula NdFeAsO 1-y using high-pressure technique and its phase diagram is figured, which shows the distinguishable boundary between superconducting and non-superconducting state. The a-and c-parameters were contracted with increase in the oxygen deficiency. When the a-parameter is reduced to 3.964 Å from that of non- superconducting sample, the superconductivity is induced with an abrupt raise of T c and the T c saturates about 53 K at a=3.94 ~ 3.95 Å. 		3.47058823529412	34.864406779661
PR05514733-CC.pdf	PR05514733-CC.pdf	New features in the microwave response of Y Ba 2 Cu 3 O 6.95 crystals : Evidence for a multi-component order parameter 	New features are reported in precision measurements of the complex microwave conductivity of high quality Y Ba2Cu3O6.95 crystals grown in BaZrO3 crucibles. A third peak in the normal conduc- tivity, σ1(T ), at around 80K, and enhanced pair conductivity σ2(T ) below ∼ 65K are observed. The data are inconsistent with a single order parameter, and instead are indicative of multi-component superconductivity. Overall, these results point to the presence of multiple pairing interactions in Y Ba2Cu3O6.95 and also provide a natural explanation to account for the low temperature 35K conductivity peak observed in all Y Ba2Cu3O6.95 crystals. 		3.72727272727273	40.9512195121951
PR05703245-CC.pdf	PR05703245-CC.pdf		Tunneling conductance of normal metal / d x 2 −y 2 -wave superconductor junctions in the presence of broken time reversal symmetry states near interfaces In order to clarify the influence of (the presence of) the broken time-reversal symmetry state (BTRSS) induced near the interface, tunneling conductance spectra in normal metal / d x 2 −y 2 -wave superconductor junctions are calcu- lated on the basis of the quasiclassical Green's function method. The spatial dependence of the pair potential in the superconductor side is determined self-consistently. We discuss two types of the symmetry on the BTRSS; i) d x 2 −y 2 +is-wave state and ii) d x 2 −y 2 +id xy -wave state. It is shown that the am- plitude of the subdominant component (is-wave or id xy -wave) is quite sensitive to the transmission coefficient of the junction. As the results, the splitting of the zero-bias conductance peak due to the BTRSS inducement is detectable only at junctions with small transmission coefficients for both cases. When the transmission coefficients are relatively large, the explicit peak splitting does not occur and the difference in the two cases appears in the height of the zero-bias peaks. 		0.189189189189189	1172.71428571429
PR06103604-CC.pdf	PR06103604-CC.pdf	Specific Heat of Zn-Doped YBa 2 Cu 3 O 6.95 : Possible Evidence for Kondo Screening in the Superconducting State 	The magnetic field dependence of the specific heat of Zn-doped single crystals of YBa2Cu3O6.95 was measured between 2 and 10 K and up to 8 Tesla. Doping levels of 0, 0.15%, 0.31%, and 1% were studied and compared. In particular we searched for the Schottky anomaly associated with the Zn-induced magnetic moments. 		3.26315789473684	87.741935483871
PR06100107-CC.pdf	PR06100107-CC.pdf	Role of two-dimensional electronic state in superconductivity in La 2−x Sr x CuO 4 	We have measured out-of-plane resistivity ρc for La2−xSrxCuO4 under anisotropic pressure. c-axis compression, which decreases ρc, reduces Tc drastically, whereas c-axis extention, which increases ρc, enhances Tc from 38K at ambient pressure to 51.6K at 8GPa. We find that the variation of Tc scales as a function of ρc, and that the c-axis pressure coefficient is much stronger than the ab-axis one. These imply that Tc depends primarily on the interlayer, rather than the in-plane, lattice parameter. 		6.61904761904762	28.0143884892086
PR05814581-CC.pdf	PR05814581-CC.pdf	Anisotropic renormalized fluctuations in the microwave resistivity in YBa 2 Cu 3 O 7−δ 	We discuss the excess conductivity above Tc due to renormalized order-parameter fluctuations in YBa2Cu3O 7−δ (YBCO) at microwave frequencies. We calculate the effects of the uniaxial anisotropy on the renormalized fluctuations in the Hartree approximation, extending the isotropic theory de- veloped by Dorsey [Phys. Rev. B 43, 7575 (1991)]. Measurements of the real part of the microwave resistivity at 24 and 48 GHz and of the dc resistivity are performed on different YBCO films. The onset of the superconducting transition and the deviation from the linear temperature behavior above Tc can be fully accounted for by the extended theory. According to the theoretical calculation here presented, a departure from gaussian toward renormalized fluctuations is observed. Very con- sistent values of the fundamental parameters (critical temperature, coherence lenghts, penetration depth) of the superconducting state are obtained. 		4.63157894736842	65.8977272727273
PR04909084-CC.pdf	PR04909084-CC.pdf	Superconductor-to-Metal Quantum Phase Transition in Overdoped La 2-x Sr x CuO 4 	We investigate T c and magnetic penetration depth λ(T) near the superconductor-metal quantum phase transition in overdoped La 2-x Sr x CuO 4 films. Both T c and superfluid density n s ,  λ -2 , decrease with overdoping. They obey the scaling relation T c  [λ -2 (0)] α with α  ½. We discuss this result in the frameworks of disordered d-wave superconductors and of scaling near quantum critical points. Our result, and the linear scaling (α  1) found for the more anisotropic T 2 Ba 2 CuO 6+δ , can both be understood in terms of quantum critical scaling, with different dimensionalities for fluctuations. 		2.67741935483871	37.3012048192771
PR06006991-CC.pdf	PR06006991-CC.pdf	"Non-Universal Power Law of the ""Hall Scattering Rate"" in a Single-Layer Cuprate Bi 2 Sr 2−x La x CuO 6 "	"In-plane resistivity, Hall coefficient, and magnetoresistance (MR) are measured in a series of high- quality Bi2Sr2−xLaxCuO6 crystals with various carrier concentrations, from underdope to overdope. It is found that the temperature dependence of the Hall angle obeys a power law T α with α system- atically decreasing with increasing doping, which questions the universality of the Fermi-liquid-like T 2 dependence of the ""Hall scattering rate"". The systematics of MR indicates an increasing role of spin scattering in underdoped samples. "		6.92307692307692	35.8444444444444
